Indicator_short,Year,Mozambique,Sub-Saharan Africa,Difference,pct_change_moz,pct_change_ssa,Complete_case,Trend
Completion,2000,15.6929903030396,52.7868804931641,-37.0938901901245,NA,NA,TRUE,Increasing
Completion,2001,18.4106407165527,54.4109191894531,-36.0002784729004,17.31760716749256,3.0765953227702316,TRUE,Increasing
Completion,2002,21.7460803985596,55.4567108154297,-33.7106304168701,18.11691256898008,1.9220252874892054,TRUE,Increasing
Completion,2003,NA,56.4152717590332,NA,NA,1.7284850282480175,FALSE,Increasing
Completion,2004,28.8612594604492,57.4124488830566,-28.551189422607397,NA,1.7675659319388586,TRUE,Increasing
Completion,2005,40.8710517883301,59.4836006164551,-18.612548828125,41.61215606109927,3.6074958892926343,TRUE,Increasing
Completion,2006,40.5682487487793,62.1734085083008,-21.605159759521506,-0.7408741060029725,4.5219318668843576,TRUE,Increasing
Completion,2007,45.120231628418,61.9109916687012,-16.790760040283203,11.220555533040281,-0.42207246778913027,TRUE,Increasing
Completion,2008,58.1393394470215,62.5015487670898,-4.3622093200683025,28.854257499874404,0.9538808577785293,TRUE,Increasing
Completion,2017,50.6402609784983,67.1070938110352,-16.466832832536902,-12.898458324172415,7.368689472172645,TRUE,Increasing
Completion,2018,55.8399274874743,67.8915863037109,-12.051658816236596,10.267850932252825,1.1690157450190353,TRUE,Increasing
Completion,2019,58.7315806521123,68.2892684936523,-9.557687841540002,5.1784686956956385,0.5857606392674158,TRUE,Increasing
Completion,2020,61.7459854167457,69.0565490722656,-7.3105636555199,5.132510876028983,1.1235741655141855,TRUE,Increasing
Completion,2021,NA,69.8967132568359,NA,NA,1.216632159957909,FALSE,Increasing
Completion,2022,72.3655686845574,68.9824600219727,3.3831086625847036,NA,-1.308006045296818,TRUE,Increasing
Completion,2023,NA,68.7689590454102,NA,NA,-0.30950038095842686,FALSE,Increasing
Completion,2024,NA,68.9090194702148,NA,NA,0.20366808913323256,FALSE,Increasing
Completion,2025,NA,NA,NA,NA,NA,FALSE,Increasing
Electricity,2000,6.1,25.700773726639,-19.600773726638998,NA,NA,TRUE,Increasing
Electricity,2001,5.7,26.1606628026781,-20.4606628026781,-6.55737704918032,1.789397785960129,TRUE,Increasing
Electricity,2002,8.4,27.3364835483685,-18.9364835483685,47.36842105263158,4.494613743387372,TRUE,Increasing
Electricity,2003,8.1,29.5928962069565,-21.4928962069565,-3.5714285714285796,8.254216950016852,TRUE,Increasing
Electricity,2004,10.7,29.3700290990252,-18.6700290990252,32.098765432098766,-0.7531101598596158,TRUE,Increasing
Electricity,2005,11.8,29.3529629714108,-17.5529629714108,10.280373831775714,-0.058107288749554835,TRUE,Increasing
Electricity,2006,13,31.2016431937494,-18.2016431937494,10.169491525423723,6.298104297474767,TRUE,Increasing
Electricity,2007,12.4,32.517987745478,-20.117987745478004,-4.615384615384613,4.218830859498783,TRUE,Increasing
Electricity,2008,13.6,32.4033521062592,-18.803352106259197,9.677419354838705,-0.3525299293304068,TRUE,Increasing
Electricity,2017,24.3,43.7628194566177,-19.462819456617698,78.6764705882353,35.056457471152335,TRUE,Increasing
Electricity,2018,31.1,46.4166752425457,-15.3166752425457,27.983539094650205,6.064179179677357,TRUE,Increasing
Electricity,2019,29.7,47.1974168154517,-17.497416815451704,-4.501607717041807,1.6820282125471406,TRUE,Increasing
Electricity,2020,30.6,48.5450389491045,-17.9450389491045,3.030303030303038,2.85528790467958,TRUE,Increasing
Electricity,2021,31.5,50.6566448640617,-19.156644864061697,2.94117647058823,4.349787250497504,TRUE,Increasing
Electricity,2022,33.2,51.5873775845363,-18.387377584536296,5.396825396825406,1.8373358973383351,TRUE,Increasing
Electricity,2023,36,53.2558710664349,-17.2558710664349,8.433734939759027,3.2343056771289422,TRUE,Increasing
Electricity,2024,NA,NA,NA,NA,NA,FALSE,Increasing
Electricity,2025,NA,NA,NA,NA,NA,FALSE,Increasing
Enrollment,2000,73.2299194335938,79.4738082885742,-6.243888854980398,NA,NA,TRUE,Increasing
Enrollment,2001,79.6124725341797,81.3402481079102,-1.7277755737304972,8.715772391875575,2.348496768342645,TRUE,Increasing
Enrollment,2002,83.0477981567383,83.4894866943359,-0.4416885375975994,4.315059579494556,2.642281817943811,TRUE,Increasing
Enrollment,2003,NA,85.9780197143555,NA,NA,2.9806543536797547,FALSE,Increasing
Enrollment,2004,93.0763931274414,87.9946899414062,5.081703186035213,NA,2.3455648708247447,TRUE,Increasing
Enrollment,2005,100.058006286621,90.3313522338867,9.72665405273429,7.5009494078915075,2.655458294172575,TRUE,Increasing
Enrollment,2006,102.737716674805,92.0808029174805,10.656913757324503,2.6781568888229152,1.936703747181931,TRUE,Increasing
Enrollment,2007,109.321502685547,92.9380798339844,16.3834228515626,6.408343716243584,0.9310050405100909,TRUE,Increasing
Enrollment,2008,114.194580078125,94.1902084350586,20.004371643066406,4.4575653214308115,1.3472718645692614,TRUE,Increasing
Enrollment,2017,111.566194762496,95.3999404907227,16.166254271773298,-2.3016725608438,1.2843501206371999,TRUE,Increasing
Enrollment,2018,115.270990181058,96.1621475219727,19.108842659085298,3.320715048540314,0.7989596506342913,TRUE,Increasing
Enrollment,2019,117.86067127577,97.0975570678711,20.76311420789891,2.2466026279850224,0.9727419468088077,TRUE,Increasing
Enrollment,2020,118.980061431837,97.9075698852539,21.072491546583095,0.9497571530437436,0.8342257435134176,TRUE,Increasing
Enrollment,2021,NA,97.1371994018555,NA,NA,-0.7868344442633709,FALSE,Increasing
Enrollment,2022,119.162225223393,96.0115814208984,23.1506438024946,NA,-1.158791881882896,TRUE,Increasing
